epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.377,0.54186,2.86273,1.03661,0.00342,1,0.59276,0.49458,0.37206,3.28578,0.87515,0.00023338,0.00023338,0.00023338
2,112.706,0.49949,2.06336,0.96941,0.71185,0.65269,0.72013,0.59225,0.56376,2.46685,1.00816,0.000473858,0.000473858,0.000473858
3,162.876,0.51124,1.62132,0.95634,0.94481,0.81741,0.89487,0.70115,0.67106,2.04384,1.06556,0.000704434,0.000704434,0.000704434
4,213.874,0.5921,1.51515,0.97427,0.75158,0.82813,0.8206,0.67311,0.68198,1.97798,1.0499,0.000925108,0.000925108,0.000925108
5,260.986,0.61878,1.4158,0.96326,0.78669,0.80828,0.81759,0.62456,0.79368,2.00143,1.12006,0.00113588,0.00113588,0.00113588
6,308.116,0.72137,1.53427,0.97874,0.76629,0.74104,0.82399,0.65471,0.77203,2.12748,1.12979,0.00133675,0.00133675,0.00133675
7,355.153,0.70866,1.57367,0.99419,0.51509,0.88297,0.76685,0.60937,0.72038,6.53117,1.14161,0.00146896,0.00146896,0.00146896
8,401.583,0.73495,1.56422,1.03028,0.6799,0.71393,0.78244,0.6448,0.58014,3.90531,0.9816,0.00143595,0.00143595,0.00143595
9,449.006,0.6956,1.3864,1.01269,0.86273,0.83495,0.90003,0.72954,0.58525,2.0895,0.98947,0.00140295,0.00140295,0.00140295
10,496.79,0.64,1.40894,0.96831,0.85196,0.81752,0.87683,0.72049,0.55229,2.54255,1.01039,0.00136994,0.00136994,0.00136994
11,548.807,0.69382,1.41585,1.05098,0.85196,0.81752,0.87683,0.72049,0.55229,2.54255,1.01039,0.00133693,0.00133693,0.00133693
12,600.184,0.6251,1.268,0.9693,0.68068,0.86219,0.73446,0.60039,0.6161,2.83878,1.05757,0.00130393,0.00130393,0.00130393
13,649.902,0.7027,1.39835,1.03474,0.80399,0.80427,0.87257,0.75095,0.59028,2.16563,1.03457,0.00127092,0.00127092,0.00127092
14,699.719,0.63637,1.27818,0.97989,0.84725,0.80269,0.8989,0.77875,0.59058,1.8756,0.99229,0.00123791,0.00123791,0.00123791
15,750.174,0.60655,1.19585,0.96256,0.9352,0.77599,0.90341,0.78187,0.63732,1.75848,1.00392,0.00120491,0.00120491,0.00120491
16,800.466,0.68134,1.26362,1.02358,0.96947,0.83387,0.93226,0.82313,0.54577,1.62235,0.95089,0.0011719,0.0011719,0.0011719
17,849.602,0.6747,1.23246,1.05368,0.96047,0.88169,0.94159,0.83398,0.52634,1.60153,0.9348,0.00113889,0.00113889,0.00113889
18,905.979,0.56912,1.19784,0.94591,0.97638,0.90054,0.95291,0.84437,0.53822,1.48177,0.93479,0.00110589,0.00110589,0.00110589
19,959.619,0.57021,1.09763,0.94404,0.90656,0.90629,0.95077,0.82764,0.53399,1.50929,0.93088,0.00107288,0.00107288,0.00107288
20,1019.79,0.5611,1.1089,0.94063,0.93254,0.80234,0.93277,0.81167,0.5115,1.50286,0.92829,0.00103987,0.00103987,0.00103987
21,1080.99,0.5804,1.09655,0.95071,0.99143,0.8672,0.952,0.83588,0.48989,1.36303,0.92985,0.00100687,0.00100687,0.00100687
22,1141.82,0.60854,1.04057,0.99458,0.94511,0.90108,0.96472,0.83763,0.51217,1.37736,0.92617,0.000973861,0.000973861,0.000973861
23,1201.48,0.6415,1.16288,0.97494,0.90916,0.97117,0.97393,0.8704,0.47627,1.29565,0.90427,0.000940855,0.000940855,0.000940855
24,1257.81,0.59968,1.0909,0.98304,0.98963,0.93234,0.98329,0.89066,0.43266,1.26808,0.89776,0.000907848,0.000907848,0.000907848
25,1313.95,0.55742,1.0354,0.97187,0.98053,0.9672,0.97414,0.85899,0.50339,1.39202,0.9408,0.000874842,0.000874842,0.000874842
26,1371.35,0.57534,0.99333,0.93953,0.97853,0.96296,0.97528,0.87139,0.48857,1.28523,0.93703,0.000841835,0.000841835,0.000841835
